RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
1201-1400,1201-1400,Universidad de Valpara_o (UV),Chile,Americas,L,FC,HI,A,10.9,601+,4,601+,8.5,701+,2.9,701+,6.3,701+,1.8,701+,39.7,701+,2.2,701+,4,701+,
1201-1400,1201-1400,Universidad del B_-B_,Chile,Americas,M,FO,VH,A,8,601+,3,601+,3.2,701+,4,701+,8.7,701+,1.4,701+,30.3,701+,2,701+,1,701+,
1201-1400,1201-1400,Universidad del Desarrollo (UDD),Chile,Americas,L,CO,HI,B,7.2,601+,8.6,601+,11.7,701+,2.3,701+,7.3,701+,2,701+,14.7,701+,4.9,701+,5.1,701+,
1201-1400,1201-1400,Universidad del Salvador,Argentina,Americas,M,FC,MD,B,3.7,601+,5.8,601+,19.9,676,1,701+,4.9,701+,7.4,701+,1.2,701+,16.2,633,,,
1201-1400,1201-1400,Universidad del Zulia,Venezuela,Americas,M,FC,MD,A,10.1,601+,5.8,601+,4.1,701+,2.1,701+,,,,,13.4,701+,5.6,701+,1,701+,
1201-1400,1001-1200,Universidad Industrial de Santander - UIS,Colombia,Americas,L,FC,MD,A,9.7,601+,14.8,564,4.6,701+,2.1,701+,4.1,701+,1.4,701+,12.4,701+,9,701+,1.3,701+,
1201-1400,1001-1200,Universidad La Salle (ULSA),Mexico,Americas,M,FC,MD,C,4.5,601+,15,559,22.3,630,1.1,701+,2.2,701+,1.6,701+,1,701+,4.8,701+,1,701+,
1201-1400,,Universidad Latinoamericana de Ciencia y Tecnolog_ Costa Rica (ULACIT),Costa Rica,Americas,S,CO,LO,B,7.5,601+,8.8,601+,31.5,503,1,701+,8.5,701+,9.1,701+,1,701+,5.5,701+,,,
1201-1400,1201-1400,Universidad Mayor de San Andr_ (UMSA),Bolivia,Americas,XL,FC,LO,A,6.3,601+,2.8,601+,1.2,701+,1.6,701+,6.4,701+,1,701+,15.1,701+,49.6,257,1,701+,
1201-1400,1001-1200,Universidad Metropolitana,Venezuela,Americas,M,CO,LO,B,7.6,601+,15.1,555,4.4,701+,1.1,701+,4.4,701+,1.6,701+,1.1,701+,25.9,456,,,
1201-1400,1201-1400,Universidad Nacional Agraria la Molina,Peru,Americas,M,FO,HI,A,7,601+,6.4,601+,12.4,701+,1.6,701+,1.3,701+,1.7,701+,9.4,701+,6.7,701+,1.5,701+,
1201-1400,1401+,Universidad Nacional Aut_oma de Honduras (UNAH),Honduras,Americas,XL,FC,LO,A,5.1,601+,4,601+,3.3,701+,1,701+,1.8,701+,,,18.5,701+,61.8,195,1,701+,
1201-1400,951-1000,Universidad Nacional de Ingenier_ Peru,Peru,Americas,M,FO,HI,,7.4,601+,27.2,354,9.1,701+,1.5,701+,,,,,5.6,701+,19.1,579,1,701+,
1201-1400,1201-1400,Universidad Nacional de Mar del Plata,Argentina,Americas,L,CO,HI,A,8.6,601+,2.8,601+,4.9,701+,3.5,701+,,,,,28.5,701+,1.2,701+,1.2,701+,
